3M Co.	St. Paul, MN	100.0	nan	100.0	100.0	+	nan
A.T. Kearney Inc.	Chicago, IL	nan	nan	100.0	80.0	nan	nan
AAA Northern California, Nevada and	nan	nan	nan	nan	nan	nan	nan
nan	San Francisco, CA	nan	nan	100.0	100.0	nan	nan
Utah	nan	nan	nan	nan	nan	nan	Headquarters
Abbott Laboratories	Abbott Park, IL	96.0	nan	80.0	80.0	nan	Location
Abercrombie & Fitch Co.	New Albany, OH	578.0	nan	100.0	100.0	nan	nan
Accenture Ltd.	New York, NY	nan	nan	100.0	100.0	nan	nan
Acer Inc.	Irvine, CA	nan	nan	50.0	50.0	nan	nan
Adecco North America LLC	Melville, NY	nan	nan	85.0	85.0	nan	nan
Adobe Systems Inc.	San Jose, CA	651.0	nan	95.0	95.0	nan	2008 Fortune 1000
Advanced Micro Devices Inc.	Sunnyvale, CA	406.0	nan	75.0	80.0	nan	2008 Forbes 200
AEGON USA Inc.	Cedar Rapids, IA	nan	nan	40.0	40.0	nan	2008 AmLaw 200
Aetna Inc.	Hartford, CT	85.0	nan	100.0	100.0	+	nan
Affiliated Computer Services Inc.	Dallas, TX	423.0	nan	60.0	60.0	nan	2010 CEI Rating
Agilent Technologies Inc.	Santa Clara, CA	443.0	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2009 CEI Rating
Ahold USA Inc.	Quincy, MA	nan	nan	78.0	78.0	nan	nan
Air Products & Chemicals Inc.	Allentown, PA	258.0	nan	75.0	75.0	nan	nan
1bAkin, Gump, Strauss, Hauer & Feld LLP	Washington, DC	nan	29.0	100.0	100.0	nan	nan
Alaska Air Group Inc.	Seattle, WA	599.0	nan	100.0	100.0	nan	2a
Alcatel-Lucent	Murray Hill, NJ	nan	nan	100.0	100.0	+	2b
Alcoa Inc.	New York, NY	80.0	nan	100.0	85.0	nan	nan
Allegheny Energy Inc.	Greensburg, PA	623.0	nan	45.0	45.0	nan	nan
Alliant Energy Corp.	Madison, WI	607.0	nan	80.0	85.0	nan	nan
3bAlliant Techsystems Inc.	Edina, MN	594.0	nan	65.0	65.0	nan	nan
Allianz Life Insurance Co. of North	nan	nan	nan	nan	nan	nan	3c
nan	Minneapolis, MN	nan	nan	100.0	100.0	nan	nan
America	nan	nan	nan	nan	nan	nan	nan
Allstate Corp., The	Northbrook, IL	64.0	nan	100.0	100.0	nan	nan
Alston & Bird LLP	Atlanta, GA	nan	54.0	100.0	100.0	nan	5
Amazon.com Inc.	Seattle, WA	171.0	nan	95.0	80.0	nan	6
AMC Entertainment Inc.	Kansas City, MO	783.0	166.0	100.0	63.0	nan	nan
Ameren Corp.	St. Louis, MO	329.0	nan	70.0	45.0	nan	nan
American Express Co.	New York, NY	75.0	nan	100.0	100.0	+	nan
American Family Insurance Group	Madison, WI	352.0	nan	88.0	95.0	nan	nan
Ameriprise Financial Inc.	Minneapolis, MN	296.0	nan	100.0	100.0	+	nan
Amgen Inc.	Thousand Oaks, CA	173.0	nan	70.0	70.0	nan	nan
AMR Corp. (American Airlines)	Fort Worth, TX	109.0	nan	100.0	100.0	nan	nan
AmTrust Bank	Cleveland, OH	nan	nan	83.0	83.0	nan	nan
Andrews Kurth LLP	Houston, TX	nan	107.0	70.0	70.0	nan	nan
Anheuser-Busch Companies Inc.	St. Louis, MO	149.0	nan	100.0	100.0	nan	nan
Hogan & Hartson LLP	Washington, DC	nan	24.0	100.0	95.0	nan	nan
Holland & Hart LLP	Denver, CO	nan	153.0	75.0	nan	nan	nan
Holland & Knight LLP	Washington, DC	nan	41.0	100.0	100.0	nan	nan
Holme Roberts & Owen LLP	Denver, CO	nan	189.0	60.0	60.0	nan	Headquarters
Home Depot Inc., The	Atlanta, GA	22.0	nan	85.0	85.0	nan	nan
Honeywell International Inc.	Morristown, NJ	73.0	nan	100.0	100.0	nan	nan
Hospira Inc.	Lake Forest, IL	608.0	nan	100.0	100.0	nan	nan
Host Hotels & Resorts Inc.	Bethesda, MD	440.0	nan	45.0	45.0	nan	nan
Howard & Howard Attorneys PLLC	Kalamazoo, MI	nan	nan	48.0	48.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2008 Fortune 1000
Howrey LLP	Washington, DC	nan	59.0	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2008 Forbes 200
HSBC - North America	Mettawa, IL	nan	nan	100.0	100.0	nan	nan
Humana Inc.	Louisville, KY	98.0	nan	45.0	45.0	nan	nan
Huntington Bancshares Inc.	Columbus, OH	610.0	nan	75.0	75.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2010 CEI Rating
Hunton & Williams LLP	Richmond, VA	nan	35.0	100.0	75.0	nan	nan
Husch Blackwell Sanders LLP	Kansas City, MO	nan	173.0	100.0	100.0	nan	2009 CEI Rating
Hyatt Hotels Corp.	Chicago, IL	nan	96.0	100.0	100.0	nan	1a
Illinois Tool Works Inc.	Glenview, IL	155.0	nan	73.0	68.0	nan	1b
Imation Corp.	Oakdale, MN	877.0	nan	88.0	88.0	nan	nan
ING North America Insurance Corp.	Atlanta, GA	nan	nan	100.0	100.0	nan	nan
Intel Corp.	Santa Clara, CA	60.0	nan	100.0	100.0	nan	nan
InterContinental Hotels Group Americas	Atlanta, GA	nan	nan	85.0	nan	nan	2c
International Business Machines Corp.	nan	nan	nan	nan	nan	nan	nan
nan	Armonk, NY	15.0	nan	100.0	100.0	+	3a
(IBM)	nan	nan	nan	nan	nan	nan	nan
International Paper Co.	Memphis, TN	114.0	nan	65.0	70.0	nan	3b
Interpublic Group of Companies Inc.	New York, NY	373.0	nan	100.0	60.0	nan	3c
Intuit Inc.	Mountain View, CA	724.0	nan	100.0	100.0	nan	4
ITT Industries Inc.	White Plains, NY	285.0	nan	60.0	75.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	5
J.C. Penney Co. Inc.	Plano, TX	126.0	nan	95.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	6
J.P. Morgan Chase & Co.	New York, NY	12.0	nan	100.0	100.0	+	nan
Jacobs Engineering Group Inc.	Pasadena, CA	308.0	nan	35.0	40.0	nan	nan
Jenner & Block LLP	Chicago, IL	nan	79.0	100.0	100.0	nan	nan
JetBlue Airways Corp.	Forest Hills, NY	705.0	nan	100.0	80.0	nan	nan
John Hancock Financial Services Inc.	Boston, MA	nan	nan	73.0	88.0	nan	nan
Johnson & Johnson	New Brunswick, NJ	35.0	nan	100.0	100.0	+	nan
Jones Apparel Group Inc.	New York, NY	526.0	nan	45.0	45.0	nan	nan
Kaiser Permanente	Oakland, CA	nan	nan	100.0	100.0	nan	nan
Katten Muchin Rosenman LLP	Chicago, IL	nan	63.0	100.0	85.0	+	nan
Kaye Scholer LLP	New York, NY	nan	62.0	100.0	80.0	nan	nan
KB Home	Los Angeles, CA	340.0	nan	70.0	75.0	nan	nan
Keane Inc.	Boston, MA	nan	nan	50.0	50.0	nan	nan
Kelley Drye & Warren LLP	New York, NY	nan	103.0	95.0	95.0	nan	nan
Kellogg Co.	Battle Creek, MI	227.0	nan	65.0	60.0	nan	nan
Kenneth Cole Productions Inc.	New York, NY	nan	nan	95.0	95.0	nan	Headquarters
KeyCorp	Cleveland, OH	321.0	nan	100.0	100.0	nan	nan
Kilpatrick Stockton LLP	Atlanta, GA	nan	100.0	95.0	95.0	nan	nan
Kimberly-Clark Corp.	Irving, TX	136.0	nan	100.0	100.0	nan	nan
Kimpton Hotel & Restaurant Group Inc.	San Francisco, CA	nan	nan	100.0	100.0	+	nan
King & Spalding LLP	Atlanta, GA	nan	40.0	95.0	95.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2008 Fortune 1000
Kirkland & Ellis LLP	Chicago, IL	nan	7.0	100.0	100.0	+	nan
nan	nan	nan	nan	nan	nan	nan	2008 Forbes 200
KLA-Tencor Corp.	Milpitas, CA	721.0	nan	58.0	58.0	nan	nan
KPMG LLP	New York, NY	nan	nan	100.0	100.0	+	nan
Kraft Foods Inc.	Northfield, IL	63.0	nan	95.0	95.0	+	nan
nan	nan	nan	nan	nan	nan	nan	2010 CEI Rating
Kramer Levin Naftalis & Frankel LLP	New York, NY	nan	90.0	100.0	100.0	nan	nan
Kroger Co., The	Cincinnati, OH	26.0	nan	75.0	75.0	nan	2009 CEI Rating
Kutak Rock LLP	Omaha, NE	nan	148.0	70.0	nan	nan	1a
L.L. Bean Inc.	Freeport, ME	nan	nan	78.0	73.0	nan	1b
Laclede Group Inc., The	St. Louis, MO	892.0	nan	0.0	5.0	nan	nan
Land O�Lakes Inc.	Arden Hills, MN	294.0	nan	53.0	53.0	nan	nan
Latham & Watkins LLP	New York, NY	nan	2.0	100.0	100.0	+	nan
Lear Corp.	Southfield, MI	157.0	nan	20.0	20.0	nan	2c
Levi Strauss & Co.	San Francisco, CA	522.0	86.0	100.0	100.0	nan	3a
LexisNexis Group	Miamisburg, OH	nan	nan	100.0	nan	nan	3b
Lexmark International Inc.	Lexington, KY	470.0	nan	100.0	100.0	nan	nan
Limited Brands Inc.	Columbus, OH	257.0	nan	95.0	80.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	4
Lincoln National Corp.	Radnor, PA	246.0	nan	95.0	95.0	nan	nan
Littler Mendelson PC	San Francisco, CA	nan	87.0	100.0	100.0	+	5
Live Nation Inc.	Beverly Hills, CA	539.0	nan	80.0	nan	nan	6
Liz Claiborne Inc.	New York, NY	479.0	nan	100.0	100.0	nan	nan
Locke Lord Bissell & Liddell LLP	Chicago, IL	nan	155.0	75.0	80.0	nan	nan
Lockheed Martin Corp.	Bethesda, MD	57.0	nan	100.0	100.0	nan	nan
Loews Corp.	New York, NY	139.0	nan	45.0	nan	nan	nan
Luce Forward Hamilton & Scripps LLP	San Diego, CA	nan	191.0	85.0	80.0	nan	nan
Macy�s Inc.	Cincinnati, OH	91.0	nan	100.0	100.0	nan	nan
Manatt, Phelps & Phillips LLP	Los Angeles, CA	nan	111.0	100.0	100.0	nan	nan
Marriott International Inc.	Bethesda, MD	197.0	nan	100.0	100.0	nan	nan
Mars Inc.	Mt. Olive, NJ	nan	6.0	73.0	48.0	nan	nan
Marsh & McLennan Companies Inc.	New York, NY	220.0	nan	100.0	100.0	+	nan
Massachusetts Mutual Life Insurance	nan	nan	nan	nan	nan	nan	nan	nan
nan	Springfield, MA	99.0	nan	nan	100.0	100.0	nan	nan
Co.	nan	nan	nan	nan	nan	nan	nan	nan
MasterCard Inc.	Purchase, NY	548.0	nan	nan	100.0	100.0	nan	nan
Mattel Inc.	El Segundo, CA	413.0	nan	nan	95.0	93.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	Headquarters
Mayer Brown LLP	Chicago, IL	nan	nan	9.0	100.0	95.0	nan	Location
McAfee Inc.	Santa Clara, CA	nan	nan	nan	53.0	53.0	nan	nan
McCarter & English LLP	Newark, NJ	nan	nan	123.0	90.0	90.0	nan	nan
McDermott Will & Emery LLP	Chicago, IL	nan	nan	14.0	100.0	100.0	nan	nan
McDonald�s Corp.	Oak Brook, IL	106.0	nan	nan	85.0	85.0	nan	nan
McGraw-Hill Companies Inc., The	New York, NY	362.0	nan	nan	80.0	80.0	
McGuireWoods LLP	Richmond, VA	nan	nan	68.0	95.0	95.0	nan	
McKenna, Long & Aldridge LLP	Atlanta, GA	nan	nan	105.0	80.0	90.0	nan	2
McKesson Corp.	San Francisco, CA	18.0	nan	nan	83.0	68.0	nan	nan
McKinsey & Co. Inc.	New York, NY	nan	60.0	nan	100.0	100.0	nan	
MeadWestvaco Corp.	Glen Allen, VA	356.0	nan	nan	60.0	60.0	nan	nan
Medtronic Inc.	Minneapolis, MN	217.0	nan	nan	100.0	95.0	nan	nan
Meijer Inc.	Grand Rapids, MI	nan	18.0	nan	20.0	15.0	nan	nan
1bMen�s Wearhouse Inc., The	Houston, TX	865.0	nan	nan	50.0	50.0	nan	nan
Merck & Co. Inc.	Whitehouse Station, NJ	101.0	nan	nan	100.0	100.0	nan	2a
MetLife Inc.	New York, NY	43.0	nan	nan	100.0	100.0	nan	2b
MGM Mirage	Las Vegas, NV	323.0	nan	nan	85.0	85.0	nan	nan
Microsoft Corp.	Redmond, WA	44.0	nan	nan	100.0	100.0	+	nan
Milbank, Tweed, Hadley & McCloy LLP	New York, NY	nan	nan	38.0	100.0	85.0	nan	nan
3bMillerCoors LLC	Chicago, IL	392.0	nan	nan	100.0	100.0	nan	nan
Mintz, Levin, Cohn, Ferris, Glovsky &	nan	nan	nan	nan	nan	nan	nan	3c
nan	Boston, MA	nan	nan	92.0	100.0	100.0	nan	nan
Popeo PC	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	4
Mirant Corp.	Atlanta, GA	708.0	nan	nan	45.0	45.0	nan	nan
Mitchell Gold + Bob Williams	Taylorsville, NC	nan	nan	nan	100.0	100.0	nan	5
Mohawk Industries Inc.	Calhoun, GA	328.0	nan	nan	50.0	65.0	nan	6
Monsanto Co.	St. Louis, MO	305.0	nan	nan	100.0	85.0	nan	nan
Moody�s Corp.	New York, NY	824.0	nan	nan	90.0	83.0	nan	nan
Morgan Lewis & Bockius LLP	Philadelphia, PA	nan	nan	12.0	100.0	80.0	nan	nan
Morgan Stanley	New York, NY	21.0	nan	nan	100.0	100.0	+	nan
Morningstar Inc.	Chicago, IL	nan	nan	nan	95.0	58.0	nan	nan
Morrison & Foerster LLP	San Francisco, CA	nan	nan	21.0	100.0	100.0	+	nan
Motorola Inc.	Schaumburg, IL	65.0	nan	nan	100.0	100.0	nan	nan
Mutual of Omaha Insurance	Omaha, NE	525.0	nan	nan	80.0	80.0	nan	nan
National Grid USA	Brooklyn, NY	nan	nan	nan	100.0	100.0	nan	nan
Nationwide	Columbus, OH	108.0	nan	nan	100.0	100.0	nan	nan
Navigant Consulting Inc.	Chicago, IL	nan	nan	100.0	nan	nan	nan
NCR Corp.	Dayton, OH	391.0	nan	100.0	100.0	nan	nan
Nelson Mullins Riley & Scarborough	nan	nan	nan	nan	nan	nan	nan
nan	Columbia, SC	nan	139.0	70.0	nan	nan	nan
LLP	nan	nan	nan	nan	nan	nan	nan
Nestle Purina PetCare Co.	St. Louis, MO	nan	nan	75.0	75.0	nan	Location
NetApp Inc.	Sunnyvale, CA	709.0	nan	100.0	nan	nan	nan
New York Life Insurance Co.	New York, NY	82.0	nan	100.0	100.0	nan	nan
New York Times Co.	New York, NY	637.0	nan	100.0	100.0	nan	nan
Newell Rubbermaid Inc.	Atlanta, GA	378.0	nan	100.0	100.0	nan	nan
Nielsen Co., The	Schaumburg, IL	nan	nan	100.0	100.0	nan	2008 Fortune 1000
Nike Inc.	Beaverton, OR	153.0	nan	100.0	100.0	+	2008 Forbes 200
Nissan North America Inc.	Franklin, TN	nan	nan	50.0	50.0	nan	nan
Nixon Peabody LLP	New York, NY	nan	64.0	100.0	100.0	nan	nan
Nokia Corp.	Irving, TX	nan	nan	50.0	50.0	nan	
Nordstrom Inc.	Seattle, WA	299.0	nan	100.0	100.0	nan	nan
Norfolk Southern Corp.	Norfolk, VA	276.0	nan	58.0	nan	nan	nan
Nortel Networks Corp.	Richardson, TX	nan	nan	85.0	85.0	nan	nan
Northeast Utilities	Berlin, CT	419.0	nan	65.0	65.0	nan	1b
Northern Trust Corp.	Chicago, IL	447.0	nan	100.0	100.0	+	2a
Northrop Grumman Corp.	Los Angeles, CA	76.0	nan	100.0	100.0	nan	2b
Novartis Pharmaceuticals Corp.	East Hanover, NJ	nan	nan	100.0	100.0	nan	nan
NV Energy Inc.	Las Vegas, NV	592.0	nan	70.0	nan	nan	nan
Office Depot Inc.	Boca Raton, FL	164.0	nan	45.0	60.0	nan	nan
OfficeMax Inc.	Naperville, IL	288.0	nan	90.0	80.0	nan	3b
O�Melveny & Myers LLP	Washington, DC	nan	18.0	100.0	100.0	nan	3c
Omnicom Group	New York, NY	211.0	nan	95.0	80.0	nan	4
Oracle Corp.	Redwood City, CA	137.0	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	5
Orbitz Worldwide Inc.	Chicago, IL	nan	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	6
Orrick, Herrington & Sutcliffe LLP	San Francisco, CA	nan	27.0	100.0	100.0	nan	nan
Owens & Minor Inc.	Mechanicsville, VA	360.0	nan	50.0	55.0	nan	nan
Owens Corning	Toledo, OH	431.0	nan	100.0	100.0	nan	nan
Pacific Life Insurance Co.	Newport Beach, CA	452.0	nan	100.0	65.0	nan	nan
PacifiCorp	Portland, OR	nan	nan	93.0	85.0	nan	nan
Palm Management Corp.	Washington, DC	nan	nan	78.0	78.0	nan	nan
Patterson Belknap Webb & Tyler LLP	New York, NY	nan	160.0	100.0	100.0	nan	nan
Paul, Hastings, Janofsky & Walker LLP	Los Angeles, CA	nan	15.0	100.0	100.0	nan	nan
Paul, Weiss, Rifkind, Wharton &	nan	nan	nan	nan	nan	nan	nan
nan	New York, NY	nan	36.0	80.0	80.0	nan	nan
Garrison LLP	nan	nan	nan	nan	nan	nan	nan
Pearson Inc.	New York, NY	nan	nan	75.0	nan	nan	nan
Pepco Holdings Inc.	Washington, DC	279.0	nan	80.0	65.0	nan	nan
Pepper Hamilton LLP	Philadelphia, PA	nan	88.0	100.0	90.0	nan	nan
Pepsi Bottling Group Inc., The	Somers, NY	190.0	nan	100.0	100.0	nan	nan
PepsiAmericas Inc.	Minneapolis, MN	508.0	nan	95.0	95.0	nan	Headquarters
PepsiCo Inc.	Purchase, NY	59.0	nan	100.0	100.0	nan	nan
Perkins + Will Inc.	Chicago, IL	nan	nan	55.0	55.0	nan	nan
Perkins Coie LLP	Seattle, WA	nan	69.0	100.0	100.0	nan	nan
Perot Systems Corp.	Plano, TX	752.0	nan	53.0	0.0	nan	nan
Pfizer Inc.	New York, NY	47.0	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2008 Fortune 1000
PG&E Corp.	San Francisco, CA	200.0	nan	100.0	100.0	+	nan
nan	nan	nan	nan	nan	nan	nan	2008 Forbes 200
Pillsbury Winthrop Shaw Pittman LLP	New York, NY	nan	46.0	100.0	100.0	+	nan
Pinnacle West Capital	Phoenix, AZ	597.0	nan	45.0	nan	nan	nan
Pitney Bowes Inc.	Stamford, CT	399.0	nan	70.0	85.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2010 CEI Rating
PNC Financial Services Group Inc.,	nan	nan	nan	nan	nan	nan	nan
nan	Pittsburgh, PA	264.0	nan	85.0	80.0	nan	nan
PNM Resources Inc.	Albuquerque, NM	788.0	nan	43.0	43.0	nan	nan
Polaroid Corp.	Waltham, MA	nan	nan	60.0	60.0	nan	nan
Polsinelli Shughart PC	Kansas City, MO	nan	190.0	95.0	80.0	nan	nan
PPG Industries Inc.	Pittsburgh, PA	218.0	nan	45.0	45.0	nan	2a
PPL Corp.	Allentown, PA	346.0	nan	55.0	65.0	nan	2b
Praxair Inc.	Danbury, CT	278.0	nan	45.0	25.0	nan	nan
PricewaterhouseCoopers LLP	New York, NY	nan	5.0	100.0	100.0	nan	nan
Principal Financial Group	Des Moines, IA	242.0	nan	95.0	95.0	nan	nan
3bProcter & Gamble Co.	Cincinnati, OH	23.0	nan	100.0	85.0	nan	nan
Progress Energy Inc.	Raleigh, NC	248.0	nan	68.0	68.0	nan	3c
Progressive Corp., The	Mayfield Village, OH	175.0	nan	100.0	100.0	nan	4
Proskauer Rose LLP	New York, NY	nan	39.0	100.0	100.0	nan	nan
Prudential Financial Inc.	Newark, NJ	74.0	nan	100.0	100.0	nan	nan
Public Service Enterprise Group	Newark, NJ	198.0	nan	100.0	nan	nan	nan
QUALCOMM Inc.	San Diego, CA	297.0	nan	95.0	95.0	nan	nan
Quarles & Brady LLP	Milwaukee, WI	nan	127.0	100.0	80.0	nan	nan
Quest Diagnostics Inc.	Madison, NJ	365.0	nan	85.0	85.0	nan	nan
Qwest Communications International	nan	nan	nan	nan	nan	nan	nan
nan	Denver, CO	187.0	nan	85.0	80.0	nan	nan
Inc.	nan	nan	nan	nan	nan	nan	nan
R.R. Donnelley & Sons Co.	Chicago, IL	229.0	nan	55.0	55.0	nan	nan
RadioShack Corp.	Fort Worth, TX	531.0	nan	40.0	40.0	nan	nan
Raymond James Financial Inc.	St. Petersburg, FL	658.0	nan	100.0	100.0	nan	nan
Raytheon Co.	Waltham, MA	112.0	nan	100.0	100.0	nan	nan
RBC Wealth Management	Minneapolis, MN	nan	nan	100.0	nan	nan	nan
Realogy Corp.	Parsippany, NJ	414.0	nan	nan	80.0	80.0	nan	nan
Recreational Equipment Inc.	Kent, WA	nan	nan	nan	100.0	100.0	nan	nan
Reed Smith LLP	Pittsburgh, PA	nan	nan	23.0	75.0	75.0	nan	nan
Regis Corp.	Edina, MN	747.0	nan	nan	68.0	nan	nan	Headquarters
Replacements Ltd.	McLeansville, NC	nan	nan	nan	100.0	100.0	+	nan
Reynolds American Inc.	Winston-Salem, NC	290.0	nan	nan	88.0	100.0	nan	nan
Rite Aid Corp.	Camp Hill, PA	142.0	nan	nan	85.0	85.0	nan	nan
Robert Half International Inc.	Menlo Park, CA	497.0	nan	nan	93.0	nan	nan	nan
Robert W. Baird & Co. Incorporated	Milwaukee, WI	nan	nan	nan	90.0	nan	nan	nan
Robins, Kaplan, Miller & Ciresi LLP	Minneapolis, MN	nan	nan	135.0	100.0	100.0	+	nan
Rockwell Collins Inc.	Cedar Rapids, IA	514.0	nan	nan	75.0	75.0	nan	nan
Ropes & Gray LLP	Boston, MA	nan	nan	31.0	100.0	100.0	nan	nan
Royal Caribbean Cruises Ltd.	Miami, FL	nan	nan	nan	70.0	55.0	nan	2010 CEI Rating
RRI Energy Inc.	Houston, TX	237.0	nan	nan	75.0	75.0	nan	nan
Ryder System Inc.	Miami, FL	371.0	nan	nan	93.0	93.0	nan	2009 CEI Rating
Ryland Group Inc., The	Calabasas, CA	670.0	nan	nan	30.0	30.0	nan	1a
S.C. Johnson & Son Inc.	Racine, WI	nan	31.0	nan	100.0	100.0	nan	1b
Sabre Holdings Inc.	Southlake, TX	nan	138.0	nan	100.0	100.0	nan	nan
Safeway Inc.	Pleasanton, CA	55.0	nan	nan	75.0	75.0	nan	nan
Sanofi-Aventis U.S. LLC	Bridgewater, NJ	nan	nan	nan	65.0	65.0	nan	nan
SAP America Inc.	Newtown Square, PA	nan	nan	nan	100.0	90.0	nan	2c
Sara Lee Corp.	Downers Grove, IL	203.0	nan	nan	75.0	75.0	nan	3a
Saul Ewing LLP	Philadelphia, PA	nan	nan	181.0	68.0	68.0	nan	3b
Schering-Plough Corp.	Kenilworth, NJ	212.0	nan	nan	100.0	100.0	nan	nan
Schiff Hardin LLP	Chicago, IL	nan	nan	114.0	80.0	80.0	nan	nan
Scholastic Corp.	New York, NY	841.0	nan	nan	50.0	50.0	nan	nan
Schulte, Roth & Zabel LLP	New York, NY	nan	nan	67.0	80.0	80.0	nan	5
Seagate Technology LLC	Scotts Valley, CA	nan	nan	nan	60.0	60.0	nan	6
Sears Holdings Corp.	Hoffman Estates, IL	45.0	nan	nan	100.0	100.0	nan	nan
Sedgwick, Detert, Moran & Arnold LLP	San Francisco, CA	nan	nan	136.0	100.0	100.0	nan	nan
Selective Insurance Group	Branchville, NJ	929.0	nan	nan	85.0	85.0	nan	nan
Sempra Energy	San Diego, CA	232.0	nan	nan	100.0	100.0	nan	nan
Severn Trent Services Inc.	Fort Washington, PA	nan	nan	nan	65.0	65.0	nan	nan
Seyfarth Shaw LLP	Chicago, IL	nan	nan	65.0	100.0	100.0	nan	nan
Shearman & Sterling LLP	New York, NY	nan	nan	19.0	100.0	nan	+	nan
Shell Oil Co.	Houston, TX	nan	nan	nan	100.0	100.0	nan	nan
Sheppard, Mullin, Richter & Hampton	nan	nan	nan	nan	nan	nan	nan	nan
nan	Los Angeles, CA	nan	nan	78.0	95.0	95.0	nan	nan
LLP	nan	nan	nan	nan	nan	nan	nan	nan
Shook, Hardy & Bacon LLP	Kansas City, MO	nan	nan	82.0	100.0	85.0	nan	nan
Sidley Austin LLP	Chicago, IL	nan	nan	5.0	100.0	100.0	nan	nan
SIRIUS XM Radio Inc.	New York, NY	nan	nan	nan	80.0	80.0	nan	nan
Skadden, Arps, Slate, Meagher & Flom	nan	nan	nan	nan	nan	nan	nan	nan
nan	New York, NY	nan	nan	1.0	100.0	100.0	nan	nan
LLP	nan	nan	nan	nan	nan	nan	nan	nan
SLM Corp. (Sallie Mae)	Reston, VA	286.0	nan	nan	60.0	60.0	nan	Location
Sodexo Inc.	Gaithersburg, MD	nan	nan	nan	100.0	100.0	nan	nan
Software House International	Somerset, NJ	nan	191.0	nan	40.0	40.0	nan	nan
Sonnenschein, Nath & Rosenthal LLP	Chicago, IL	nan	nan	58.0	100.0	100.0	+	nan
Southern California Edison Co.	Rosemead, CA	nan	nan	nan	100.0	100.0	nan	nan
Southern Co.	Atlanta, GA	166.0	nan	nan	48.0	48.0	nan	2008 Fortune 1000
Southwest Airlines Co.	Dallas, TX	267.0	nan	nan	95.0	90.0	nan	2008 Forbes 200
Spectra Energy Corp.	Houston, TX	487.0	nan	nan	80.0	nan	nan	2008 AmLaw 200
Sprint Nextel Corp.	Overland Park, KS	58.0	nan	nan	100.0	100.0	nan	nan
Squire, Sanders & Dempsey LLP	Cleveland, OH	nan	nan	53.0	100.0	100.0	nan	2010 CEI Rating
SRA International Inc.	Fairfax, VA	nan	nan	nan	75.0	75.0	nan	nan
Staples Inc.	Framingham, MA	128.0	nan	nan	93.0	93.0	nan	nan
Starbucks Corp.	Seattle, WA	277.0	nan	nan	100.0	100.0	nan	nan
Starcom MediaVest Group	Chicago, IL	nan	nan	nan	100.0	100.0	nan	nan
Starwood Hotels & Resorts Worldwide	White Plains, NY	396.0	nan	nan	100.0	100.0	nan	2a
State Farm Group	Bloomington, IL	32.0	nan	nan	80.0	80.0	+	2b
State Street Corp.	Boston, MA	225.0	nan	nan	100.0	100.0	nan	nan
Steelcase Inc.	Grand Rapids, MI	659.0	nan	nan	60.0	60.0	nan	nan
Steptoe & Johnson LLP	Washington, DC	nan	nan	77.0	85.0	85.0	nan	nan
Stinson Morrison Hecker LLP	Kansas City, MO	nan	nan	168.0	100.0	95.0	nan	nan
Stoel Rives LLP	Portland, OR	nan	nan	146.0	100.0	95.0	nan	3c
Subaru of America Inc.	Cherry Hill, NJ	nan	nan	nan	100.0	100.0	nan	4
Sullivan & Cromwell LLP	New York, NY	nan	nan	13.0	100.0	100.0	nan	nan
Sun Life Financial Inc. (U.S.)	Wellesley Hills, MA	nan	nan	nan	100.0	100.0	nan	nan
Sun Microsystems Inc.	Santa Clara, CA	184.0	nan	nan	100.0	100.0	+	nan
SunTrust Banks Inc.	Atlanta, GA	193.0	nan	nan	100.0	100.0	nan	nan
Supervalu Inc.	Eden Prairie, MN	62.0	nan	nan	100.0	100.0	nan	nan
Sutherland Asbill & Brennan LLP	Atlanta, GA	nan	nan	93.0	100.0	95.0	+	nan
Symantec Corp.	Mountain View, CA	461.0	nan	nan	100.0	100.0	nan	nan
T-Mobile USA Inc.	Bellevue, WA	nan	nan	nan	50.0	nan	nan	nan
Target Corp.	Minneapolis, MN	31.0	nan	nan	100.0	100.0	nan	nan
TD Bank N.A.	Wilmington , DE	nan	nan	nan	100.0	nan	nan	nan
Teachers Insurance and Annuity	nan	nan	nan	nan	nan	nan	nan	nan
Association - College Retirement	New York, NY	86.0	nan	nan	100.0	78.0	nan	nan
Equities Fund (TIAA-CREF)	nan	nan	nan	nan	nan	nan	nan	nan
Tech Data Corp.	Clearwater, FL	105.0	nan	nan	100.0	100.0	nan	nan
Tenet Healthcare	Dallas, TX	280.0	nan	nan	40.0	35.0	nan	nan
