company_name	location	cei_2002	cei_2003	forbes_1000
__	Yes, we have a company wide policy
__	Only in one or more subsidiaries or labor agreements
__	We do not have such a policy, but are working toward this in the next one year
__	We do not have such a policy
2.	Does your firm have a written policy barring employment discrimination based on, and using the words, “gender
	identity” or “gender expression?”
__	Yes, we have a company wide policy
__	Only in one or more subsidiaries or labor agreements
__	We do not have such a policy, but are working toward this in the next one year
__	We do not have such a policy
3.	Does your company offer health insurance coverage to your employees’ domestic partners?
__	We do not offer domestic partner health benefits and have no plans to offer them
__	We do not offer domestic partner health benefits, but plan to offer them in the next one year
__	Yes, to same-sex partners only
__	Yes, to opposite-sex partners only
Sexual orientation	___	___.1	___.2
Pharmaceuticals	Ortho-Neutrogena	Los Angeles	CA	43
Pharmaceuticals	Schering-Plough Corp.	Madison	NJ	43
Pharmaceuticals	Bayer Corp.	Pittsburgh	PA	29
Pharmaceuticals	Eli Lilly & Co.	Indianapolis	IN	29
Pharmaceuticals	Wyeth (formerly American Home Products)	Madison	NJ	29
Retail and Consumer Products	Replacements Ltd.	Greensboro	NC	100
Retail and Consumer Products	Procter & Gamble	Cincinnati	OH	86
Retail and Consumer Products	Mitchell Gold Co.	Taylorsville	NC	86
Retail and Consumer Products	SC Johnson & Son Inc.	Racine	WI	86
Retail and Consumer Products	Target Corp.	Minneapolis	MN	86
Retail and Consumer Products	The Gillette Co.	Boston	MA	86
Retail and Consumer Products	Walgreens Co.	Deerfield	IL	86
Retail and Consumer Products	Clorox Co.	Oakland	CA	71
Retail and Consumer Products	Lillian Vernon Corp.	New Rochelle	NY	71
Retail and Consumer Products	Avon Products	New York	NY	57
Retail and Consumer Products	Barnes & Noble	New York	NY	57
Retail and Consumer Products	Colgate-Palmolive	New York	NY	57
Retail and Consumer Products	Estee Lauder Companies	New York	NY	57
Retail and Consumer Products	Home Depot	Atlanta	GA	57
Retail and Consumer Products	Kmart	Troy	MI	43
Retail and Consumer Products	Mattel Inc.	El Segundo	CA	43
Retail and Consumer Products	Office Depot	Delray Beach	FL	43
Retail and Consumer Products	Sears, Roebuck and Co.	Chicago	IL	43
Retail and Consumer Products	Toys R Us	Framingham	MA	43
Retail and Consumer Products	Whirlpool Corp.	Benton Harbor	MI	43
Market Name	Employer Name	City	State	Rating
Retail and Consumer Products	Circuit City Stores Inc.	Richmond	VA	29
Retail and Consumer Products	Hallmark Cards	Kansas City	MO	29
Retail and Consumer Products	Hasbro Inc.	Pawtucket	RI	29
Retail and Consumer Products	Maytag Corp.	North Newton	IA	29
Retail and Consumer Products	Newell Rubbermaid Inc.	Freeport	IL	29
Retail and Consumer Products	Rite Aid Corp.	Camp Hill	PA	29
Retail and Consumer Products	Staples Inc.	Westborough	MA	29
Retail and Consumer Products	Meijer Inc.	Grand Rapids	MI	14
Retail and Consumer Products	Wal-Mart Stores Inc.	Bentonville	AR	14
Telecommunications	AT&T	New York	NY	86
Telecommunications	BellSouth Corp.	Atlanta	GA	86
Telecommunications	Cingular Wireless	Atlanta	GA	86
Telecommunications	Qwest Communications International Inc.	Englewood	CO	86
Telecommunications	SBC Communications Inc.	San Antonio	TX	86
Telecommunications	Verizon Communications	New York	NY	86
Telecommunications	Verio Inc.	Englewood	CO	71
Telecommunications	Nextel Communications	Reston	VA	57
Telecommunications	Northern Telecom Inc.	Nashville	TN	43
Telecommunications	Sprint Corp.	Westwood	KS	29
Telecommunications	WorldCom Inc.	Clinton	MS	29
Tobacco	Philip Morris	New York	NY	57
Transportation and Travel	Worldspan L.P.	Atlanta	GA	100
Transportation and Travel	Ryder System Inc.	Miami	FL	71
Transportation and Travel	The Boeing Co.	Seattle	WA	71
Transportation and Travel	American President Lines	Oakland	CA	43
Utilities	PG&E Corp.	San Francisco	CA	86
Utilities	Consolidated Edison Co.	New York	NY	71
Utilities	Edison International	Rosemead	CA	71
Utilities	Northeast Utilities System	Berlin	CT	71
Utilities	Sempra Energy	San Diego	CA	71
Utilities	Allegheny Energy	Hagerstown	MD	57
Utilities	Cinergy Corp.	Cincinnati	OH	57
Utilities	Baltimore Gas & Electric Co.	Baltimore	MD	43
Utilities	Pacificorp	Portland	OR	43
